NF;180;9174;110320;120320;2991;1000;0;10690;0.500;5
NF;180;9174;110320;120320;2998;1000;0;11922;0.500;5
NF;180;9174;110320;120320;2999;1000;0;11929;0.500;5
NF;180;9174;110320;120320;5559;1000;0;12049;0.500;5
NF;180;9174;110320;120320;5354;2000;0;15180;100.000;5
NF;180;3785;110320;120320;4550;2000;5.50;1360;1.000;15
NF;180;3785;110320;120320;5305;5000;2.00;282;1.000;15
NF;180;3785;110320;120320;4405;1000;13.00;367;1.000;15
NF;180;3785;110320;120320;5029;2000;4.99;420;1.000;15
NF;180;3785;110320;120320;6138;10000;1.90;1309;1.000;15
NF;180;3785;110320;120320;5651;10000;1.80;1448;1.000;15
NF;180;3785;110320;120320;118;3000;1.90;241;1.000;15
NF;180;3785;110320;120320;1521;3000;1.90;243;1.000;15
NF;180;3785;110320;120320;164;1000;14.00;379;1.000;15
NF;180;3785;110320;120320;167;1000;14.00;385;1.000;15
NF;180;3785;110320;120320;1359;3000;1.70;233;1.000;15
NF;180;3785;110320;120320;1361;10000;1.90;235;1.000;15
NF;180;3785;110320;120320;5332;3000;5.70;7410;1.000;15
NF;180;3785;110320;120320;6117;1000;2.60;4063;5.000;15
NF;180;3785;110320;120320;6133;1000;2.90;4065;5.000;15

NF;190;9172;110320;120320;1754;3000;0;11117;0.500;2
NF;190;9172;110320;120320;2998;1000;0;11922;0.500;2
NF;190;3777;090320;120320;5305;7000;2.00;282;1.000;18
NF;190;3777;090320;120320;4405;2000;13.00;367;1.000;18
NF;190;3777;090320;120320;5029;1000;4.99;420;1.000;18
NF;190;3777;090320;120320;6138;8000;1.90;1309;1.000;18
NF;190;3777;090320;120320;6072;2000;2.80;1370;1.000;18
NF;190;3777;090320;120320;5651;8000;1.80;1448;1.000;18
NF;190;3777;090320;120320;5466;8000;1.70;1457;1.000;18
NF;190;3777;090320;120320;118;5000;1.90;241;1.000;18
NF;190;3777;090320;120320;1521;5000;1.90;243;1.000;18
NF;190;3777;090320;120320;164;1000;14.00;379;1.000;18
NF;190;3777;090320;120320;167;1000;14.00;385;1.000;18
NF;190;3777;090320;120320;2244;1000;15.00;406;1.000;18
NF;190;3777;090320;120320;5709;1000;14.00;362;1.000;18
NF;190;3777;090320;120320;1359;8000;1.70;233;1.000;18
NF;190;3777;090320;120320;1361;12000;1.90;235;1.000;18
NF;190;3777;090320;120320;5332;4000;5.70;7410;1.000;18
NF;190;3777;090320;120320;630;1000;2.40;4012;5.000;18
NF;190;3777;090320;120320;6117;1000;2.60;4063;5.000;18

NF;195;9171;100320;120320;4333;1000;0;12041;25.000;3
NF;195;9171;100320;120320;3128;2000;0;15009;1.000;3
NF;195;9171;100320;120320;3440;2000;0;15015;1.000;3
NF;195;3775;090320;120320;3175;1000;10.50;311;1.000;11
NF;195;3775;090320;120320;4405;1000;13.00;367;1.000;11
NF;195;3775;090320;120320;5029;1000;4.99;420;1.000;11
NF;195;3775;090320;120320;5651;5000;1.80;1448;1.000;11
NF;195;3775;090320;120320;5466;5000;1.70;1457;1.000;11
NF;195;3775;090320;120320;118;2000;1.90;241;1.000;11
NF;195;3775;090320;120320;1521;2000;1.90;243;1.000;11
NF;195;3775;090320;120320;2244;1000;15.00;406;1.000;11
NF;195;3775;090320;120320;1359;5000;1.70;233;1.000;11
NF;195;3775;090320;120320;1361;20000;1.90;235;1.000;11
NF;195;3775;090320;120320;6117;1000;2.60;4063;5.000;11

NF;200;9159;100320;120320;3310;1000;1.00;2403;1.000;12
NF;200;9159;100320;120320;5131;1000;0;10430;1.000;12
NF;200;9159;100320;120320;5850;1000;0;10540;30.000;12
NF;200;9159;100320;120320;5160;1000;0;10627;1.000;12
NF;200;9159;100320;120320;6130;5000;0;10686;1.000;12
NF;200;9159;100320;120320;5075;5000;0;10688;1.000;12
NF;200;9159;100320;120320;3874;1000;0;11160;6.000;12
NF;200;9159;100320;120320;1785;4000;0;11308;1.000;12
NF;200;9159;100320;120320;4662;1000;0;11658;0.500;12
NF;200;9159;100320;120320;2998;1000;0;11922;0.500;12
NF;200;9159;100320;120320;3000;1000;0;11932;1.000;12
NF;200;9159;100320;120320;5513;4000;0;15272;1.000;12
NF;200;3753;110320;120320;4405;1000;13.00;367;1.000;10
NF;200;3753;110320;120320;5029;1000;4.99;420;1.000;10
NF;200;3753;110320;120320;6138;4000;1.90;1309;1.000;10
NF;200;3753;110320;120320;5651;5000;1.80;1448;1.000;10
NF;200;3753;110320;120320;118;3000;1.90;241;1.000;10
NF;200;3753;110320;120320;1521;3000;1.90;243;1.000;10
NF;200;3753;110320;120320;1359;5000;1.70;233;1.000;10
NF;200;3753;110320;120320;1361;20000;1.90;235;1.000;10
NF;200;3753;110320;120320;4713;1000;2.40;4038;5.000;10
NF;200;3753;110320;120320;6050;1000;2.90;4060;5.000;10

NF;205;9102;110320;120320;5131;1000;0;10430;1.000;9
NF;205;9102;110320;120320;5233;2000;0;11125;1.000;9
NF;205;9102;110320;120320;1785;1000;0;11308;1.000;9
NF;205;9102;110320;120320;4662;1000;0;11658;0.500;9
NF;205;9102;110320;120320;1887;1000;0;11820;1.000;9
NF;205;9102;110320;120320;2998;1000;0;11922;0.500;9
NF;205;9102;110320;120320;5311;2000;0;11928;1.000;9
NF;205;9102;110320;120320;3000;1000;0;11932;1.000;9
NF;205;9102;110320;120320;5559;1000;0;12049;0.500;9
NF;205;1613;060320;120320;3175;1000;10.50;311;1.000;26
NF;205;1613;060320;120320;4117;1000;11.50;329;1.000;26
